time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2020-12-28T02:18:37Z,161,0,0,0,0,0,3163825,1248,17936,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609121916533,3145728,0,0,0,0,2,23,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,2,15,27628544,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:06:32Z,161,0,0,0,0,0,3159950,1029,14061,0,0,0,0,0,0,12,3,0,0,0,0,0,2,3,3,0,2,1,5,8,3,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1609131992235,3145728,0,0,0,10,0,0,0,2,0,0,0,3,0,0,0,10,0,2048,1,0,0,0,0,79872,18,0,0,0,0,0,0,0,0,2,13,28765664,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:07:32Z,1130,0,0,0,0,0,3815063,2401,667473,732,0,0,0,0,0,10643,0,0,0,0,0,0,0,39,7,0,3,1,6,207,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609131992235,3145728,0,0,0,0,3562,30134,3561,2,3562,0,0,3,3561,0,0,0,0,0,0,0,0,0,0,4096,2,628894,3562,0,0,0,0,0,0,6,67,65633432,4,0,0,0,0,0,0,4046,0,0,0,1,0,1,0,61,0,5,0,108,0,0,0,0,0,0,0,0,0,0,7031,0,3549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:08:32Z,1595,0,0,0,0,0,4206952,2401,1058897,732,0,0,0,0,0,12498,0,0,0,0,0,0,0,60,7,0,3,1,6,928,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609131992235,3145728,0,0,0,0,2235,18397,2235,0,2235,0,0,3,2235,0,0,0,0,0,0,0,0,0,0,0,0,412887,2235,0,0,0,0,0,0,15,58,47163280,3,0,0,0,0,0,0,4141,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10224,0,2209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:09:32Z,665,0,0,0,0,0,4667962,2401,1520945,624,0,0,0,0,0,11534,0,0,0,0,0,0,0,84,7,0,2,1,6,628,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609131992235,3145728,0,0,0,0,2532,21193,2533,0,2532,0,0,3,2532,0,0,0,0,0,0,0,0,0,0,0,0,522917,2532,0,0,0,0,0,0,15,43,59289600,3,0,0,0,0,0,0,3897,0,0,0,0,0,1,0,77,0,2,0,100,0,0,0,0,0,0,0,0,0,0,8942,0,2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:10:32Z,1130,0,0,0,0,0,4881123,2401,1733641,624,0,0,0,0,0,11681,0,0,0,0,0,0,0,94,7,0,2,1,7,1812,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609131992235,3145728,0,0,0,0,1341,11859,1341,0,1341,0,0,3,1342,0,0,0,0,0,0,0,0,0,0,0,0,230266,1341,0,0,0,0,0,0,15,77,42730288,3,0,0,0,0,0,0,5041,0,0,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10313,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:11:32Z,1595,0,0,0,0,0,5411260,2401,2263313,624,0,0,0,0,0,11543,0,0,0,0,0,0,0,121,7,0,2,1,6,1012,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609131992235,3145728,0,0,0,0,3103,25330,3103,0,3103,0,0,3,3103,0,0,0,0,0,0,0,0,0,0,0,0,583155,3103,0,0,0,0,0,0,5,13,29058808,2,0,0,0,0,0,0,5225,0,0,0,1,0,0,0,76,0,2,0,100,0,0,0,0,0,0,0,0,0,0,8394,0,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:12:32Z,2060,0,0,0,0,0,5809509,2401,2661097,624,0,0,0,0,0,7998,0,0,0,0,0,0,0,145,7,0,2,1,7,674,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609131992235,3145728,0,0,0,0,2256,19346,2256,0,2256,0,0,3,2256,0,0,0,0,0,0,0,0,0,0,0,0,472302,2256,0,0,0,0,0,0,3,8,48167112,4,0,0,0,0,0,0,3656,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,0,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:13:32Z,665,0,0,0,0,0,6206130,2401,3059113,624,0,0,0,0,0,9253,0,0,0,0,0,0,0,162,7,0,1,1,6,1039,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609131992235,3145728,0,0,0,0,2455,21035,2455,0,2455,0,0,3,2455,0,0,0,0,0,0,0,0,0,0,0,0,438016,2455,0,0,0,0,0,0,4,26,55596928,3,0,0,0,0,0,0,4639,0,0,0,0,0,1,0,80,0,2,0,100,0,0,0,0,0,0,0,0,0,0,6751,0,2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28T05:14:32Z,1595,0,0,0,0,0,6554864,2401,3406809,732,0,0,0,0,0,9991,0,0,0,0,0,0,0,187,7,0,1,1,6,1221,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609131992235,3145728,0,0,0,0,2027,16835,2026,0,2027,0,0,3,2026,0,0,0,0,0,0,0,0,0,0,0,0,491658,2027,0,0,0,0,0,0,5,47,43365160,3,0,0,0,0,0,0,4635,0,0,0,0,0,0,0,96,0,2,0,100,0,0,0,0,0,0,0,0,0,0,7918,0,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
